File Name,Group,Value,Unit,Is_Trend,Ratio_Value
SIMCEPImages_A17_C70_F1_s01_w1.TIF,Control,63.0,cells,False,0
SIMCEPImages_A17_C70_F1_s01_w2.TIF,Control,45.0,cells,False,0
SIMCEPImages_A17_C70_F1_s02_w1.TIF,Control,69.0,cells,False,0
SIMCEPImages_A17_C70_F1_s02_w2.TIF,Control,38.0,cells,False,0
SIMCEPImages_A17_C70_F1_s03_w1.TIF,Control,71.0,cells,False,0
SIMCEPImages_A17_C70_F1_s03_w2.TIF,Control,46.0,cells,False,0
SIMCEPImages_A17_C70_F1_s04_w1.TIF,Control,66.0,cells,False,0
SIMCEPImages_A17_C70_F1_s04_w2.TIF,Control,63.0,cells,False,0
SIMCEPImages_A17_C70_F1_s05_w1.TIF,Control,68.0,cells,False,0
SIMCEPImages_A17_C70_F1_s05_w2.TIF,Control,50.0,cells,False,0
SIMCEPImages_A17_C70_F1_s06_w1.TIF,Control,73.0,cells,False,0
SIMCEPImages_A17_C70_F1_s06_w2.TIF,Control,55.0,cells,False,0
SIMCEPImages_A17_C70_F1_s07_w1.TIF,Control,79.0,cells,False,0
SIMCEPImages_A17_C70_F1_s07_w2.TIF,Control,54.0,cells,False,0
SIMCEPImages_A17_C70_F1_s08_w1.TIF,Control,75.0,cells,False,0
SIMCEPImages_A17_C70_F1_s08_w2.TIF,Control,59.0,cells,False,0
SIMCEPImages_A17_C70_F1_s09_w1.TIF,Control,71.0,cells,False,0
SIMCEPImages_A17_C70_F1_s09_w2.TIF,Control,44.0,cells,False,0
SIMCEPImages_A17_C70_F1_s10_w1.TIF,Control,72.0,cells,False,0
SIMCEPImages_A17_C70_F1_s10_w2.TIF,Control,54.0,cells,False,0
SIMCEPImages_A17_C70_F1_s11_w1.TIF,Control,76.0,cells,False,0
SIMCEPImages_A17_C70_F1_s11_w2.TIF,Control,44.0,cells,False,0
SIMCEPImages_A17_C70_F1_s12_w1.TIF,Control,71.0,cells,False,0
SIMCEPImages_A17_C70_F1_s12_w2.TIF,Control,41.0,cells,False,0
SIMCEPImages_A17_C70_F1_s13_w1.TIF,Control,74.0,cells,False,0
SIMCEPImages_A17_C70_F1_s13_w2.TIF,Control,44.0,cells,False,0
SIMCEPImages_A17_C70_F1_s14_w1.TIF,Control,73.0,cells,False,0
SIMCEPImages_A17_C70_F1_s14_w2.TIF,Control,61.0,cells,False,0
SIMCEPImages_A17_C70_F1_s15_w1.TIF,Control,70.0,cells,False,0
SIMCEPImages_A17_C70_F1_s15_w2.TIF,Control,51.0,cells,False,0
SIMCEPImages_A17_C70_F1_s16_w1.TIF,Control,69.0,cells,False,0
SIMCEPImages_A17_C70_F1_s16_w2.TIF,Control,46.0,cells,False,0
SIMCEPImages_A17_C70_F1_s17_w1.TIF,Control,71.0,cells,False,0
SIMCEPImages_A17_C70_F1_s17_w2.TIF,Control,51.0,cells,False,0
SIMCEPImages_A17_C70_F1_s18_w1.TIF,Control,71.0,cells,False,0
SIMCEPImages_A17_C70_F1_s18_w2.TIF,Control,29.0,cells,False,0
SIMCEPImages_A17_C70_F1_s19_w1.TIF,Control,70.0,cells,False,0
SIMCEPImages_A17_C70_F1_s19_w2.TIF,Control,46.0,cells,False,0
SIMCEPImages_A17_C70_F1_s20_w1.TIF,Control,68.0,cells,False,0
SIMCEPImages_A17_C70_F1_s20_w2.TIF,Control,31.0,cells,False,0
SIMCEPImages_A17_C70_F1_s21_w1.TIF,Control,74.0,cells,False,0
SIMCEPImages_A17_C70_F1_s21_w2.TIF,Control,58.0,cells,False,0
SIMCEPImages_A17_C70_F1_s22_w1.TIF,Control,73.0,cells,False,0
SIMCEPImages_A17_C70_F1_s22_w2.TIF,Control,49.0,cells,False,0
SIMCEPImages_A17_C70_F1_s23_w1.TIF,Control,73.0,cells,False,0
SIMCEPImages_A17_C70_F1_s23_w2.TIF,Control,39.0,cells,False,0
SIMCEPImages_A17_C70_F1_s24_w1.TIF,Control,68.0,cells,False,0
SIMCEPImages_A17_C70_F1_s24_w2.TIF,Control,47.0,cells,False,0
SIMCEPImages_A17_C70_F1_s25_w1.TIF,Control,69.0,cells,False,0
SIMCEPImages_A17_C70_F1_s25_w2.TIF,Control,29.0,cells,False,0
SIMCEPImages_B17_C70_F4_s01_w1.TIF,Control,62.0,cells,False,0
SIMCEPImages_B17_C70_F4_s01_w2.TIF,Control,43.0,cells,False,0
SIMCEPImages_B17_C70_F4_s02_w1.TIF,Control,67.0,cells,False,0
SIMCEPImages_B17_C70_F4_s02_w2.TIF,Control,38.0,cells,False,0
SIMCEPImages_B17_C70_F4_s03_w1.TIF,Control,68.0,cells,False,0
SIMCEPImages_B17_C70_F4_s03_w2.TIF,Control,45.0,cells,False,0
SIMCEPImages_B17_C70_F4_s04_w1.TIF,Control,66.0,cells,False,0
SIMCEPImages_B17_C70_F4_s04_w2.TIF,Control,62.0,cells,False,0
SIMCEPImages_B17_C70_F4_s05_w1.TIF,Control,66.0,cells,False,0
SIMCEPImages_B17_C70_F4_s05_w2.TIF,Control,47.0,cells,False,0
SIMCEPImages_B17_C70_F4_s06_w1.TIF,Control,72.0,cells,False,0
SIMCEPImages_B17_C70_F4_s06_w2.TIF,Control,57.0,cells,False,0
SIMCEPImages_B17_C70_F4_s07_w1.TIF,Control,79.0,cells,False,0
SIMCEPImages_B17_C70_F4_s07_w2.TIF,Control,49.0,cells,False,0
SIMCEPImages_B17_C70_F4_s08_w1.TIF,Control,72.0,cells,False,0
SIMCEPImages_B17_C70_F4_s08_w2.TIF,Control,53.0,cells,False,0
SIMCEPImages_B17_C70_F4_s09_w1.TIF,Control,71.0,cells,False,0
SIMCEPImages_B17_C70_F4_s09_w2.TIF,Control,40.0,cells,False,0
SIMCEPImages_B17_C70_F4_s10_w1.TIF,Control,73.0,cells,False,0
SIMCEPImages_B17_C70_F4_s10_w2.TIF,Control,61.0,cells,False,0
SIMCEPImages_B17_C70_F4_s11_w1.TIF,Control,75.0,cells,False,0
SIMCEPImages_B17_C70_F4_s11_w2.TIF,Control,43.0,cells,False,0
SIMCEPImages_B17_C70_F4_s12_w1.TIF,Control,70.0,cells,False,0
SIMCEPImages_B17_C70_F4_s12_w2.TIF,Control,39.0,cells,False,0
SIMCEPImages_B17_C70_F4_s13_w1.TIF,Control,74.0,cells,False,0
SIMCEPImages_B17_C70_F4_s13_w2.TIF,Control,42.0,cells,False,0
SIMCEPImages_B17_C70_F4_s14_w1.TIF,Control,71.0,cells,False,0
SIMCEPImages_B17_C70_F4_s14_w2.TIF,Control,66.0,cells,False,0
SIMCEPImages_B17_C70_F4_s15_w1.TIF,Control,68.0,cells,False,0
SIMCEPImages_B17_C70_F4_s15_w2.TIF,Control,49.0,cells,False,0
SIMCEPImages_B17_C70_F4_s16_w1.TIF,Control,67.0,cells,False,0
SIMCEPImages_B17_C70_F4_s16_w2.TIF,Control,44.0,cells,False,0
SIMCEPImages_B17_C70_F4_s17_w1.TIF,Control,70.0,cells,False,0
SIMCEPImages_B17_C70_F4_s17_w2.TIF,Control,53.0,cells,False,0
SIMCEPImages_B17_C70_F4_s18_w1.TIF,Control,69.0,cells,False,0
SIMCEPImages_B17_C70_F4_s18_w2.TIF,Control,30.0,cells,False,0
SIMCEPImages_B17_C70_F4_s19_w1.TIF,Control,69.0,cells,False,0
SIMCEPImages_B17_C70_F4_s19_w2.TIF,Control,50.0,cells,False,0
SIMCEPImages_B17_C70_F4_s20_w1.TIF,Control,68.0,cells,False,0
SIMCEPImages_B17_C70_F4_s20_w2.TIF,Control,27.0,cells,False,0
SIMCEPImages_B17_C70_F4_s21_w1.TIF,Control,73.0,cells,False,0
SIMCEPImages_B17_C70_F4_s21_w2.TIF,Control,54.0,cells,False,0
SIMCEPImages_B17_C70_F4_s22_w1.TIF,Control,70.0,cells,False,0
SIMCEPImages_B17_C70_F4_s22_w2.TIF,Control,47.0,cells,False,0
SIMCEPImages_B17_C70_F4_s23_w1.TIF,Control,71.0,cells,False,0
SIMCEPImages_B17_C70_F4_s23_w2.TIF,Control,37.0,cells,False,0
SIMCEPImages_B17_C70_F4_s24_w1.TIF,Control,68.0,cells,False,0
SIMCEPImages_B17_C70_F4_s24_w2.TIF,Control,44.0,cells,False,0
SIMCEPImages_B17_C70_F4_s25_w1.TIF,Control,67.0,cells,False,0
SIMCEPImages_B17_C70_F4_s25_w2.TIF,Control,26.0,cells,False,0
SIMCEPImages_C17_C70_F7_s01_w1.TIF,Control,61.0,cells,False,0
SIMCEPImages_C17_C70_F7_s01_w2.TIF,Control,37.0,cells,False,0
SIMCEPImages_C17_C70_F7_s02_w1.TIF,Control,65.0,cells,False,0
SIMCEPImages_C17_C70_F7_s02_w2.TIF,Control,35.0,cells,False,0
SIMCEPImages_C17_C70_F7_s03_w1.TIF,Control,66.0,cells,False,0
SIMCEPImages_C17_C70_F7_s03_w2.TIF,Control,38.0,cells,False,0
SIMCEPImages_C17_C70_F7_s04_w1.TIF,Control,63.0,cells,False,0
SIMCEPImages_C17_C70_F7_s04_w2.TIF,Control,56.0,cells,False,0
SIMCEPImages_C17_C70_F7_s05_w1.TIF,Control,64.0,cells,False,0
SIMCEPImages_C17_C70_F7_s05_w2.TIF,Control,41.0,cells,False,0
SIMCEPImages_C17_C70_F7_s06_w1.TIF,Control,70.0,cells,False,0
SIMCEPImages_C17_C70_F7_s06_w2.TIF,Control,56.0,cells,False,0
SIMCEPImages_C17_C70_F7_s07_w1.TIF,Control,76.0,cells,False,0
SIMCEPImages_C17_C70_F7_s07_w2.TIF,Control,41.0,cells,False,0
SIMCEPImages_C17_C70_F7_s08_w1.TIF,Control,70.0,cells,False,0
SIMCEPImages_C17_C70_F7_s08_w2.TIF,Control,47.0,cells,False,0
SIMCEPImages_C17_C70_F7_s09_w1.TIF,Control,67.0,cells,False,0
SIMCEPImages_C17_C70_F7_s09_w2.TIF,Control,38.0,cells,False,0
SIMCEPImages_C17_C70_F7_s10_w1.TIF,Control,70.0,cells,False,0
SIMCEPImages_C17_C70_F7_s10_w2.TIF,Control,50.0,cells,False,0
SIMCEPImages_C17_C70_F7_s11_w1.TIF,Control,69.0,cells,False,0
SIMCEPImages_C17_C70_F7_s11_w2.TIF,Control,36.0,cells,False,0
SIMCEPImages_C17_C70_F7_s12_w1.TIF,Control,67.0,cells,False,0
SIMCEPImages_C17_C70_F7_s12_w2.TIF,Control,36.0,cells,False,0
SIMCEPImages_C17_C70_F7_s13_w1.TIF,Control,69.0,cells,False,0
SIMCEPImages_C17_C70_F7_s13_w2.TIF,Control,36.0,cells,False,0
SIMCEPImages_C17_C70_F7_s14_w1.TIF,Control,68.0,cells,False,0
SIMCEPImages_C17_C70_F7_s14_w2.TIF,Control,59.0,cells,False,0
SIMCEPImages_C17_C70_F7_s15_w1.TIF,Control,66.0,cells,False,0
SIMCEPImages_C17_C70_F7_s15_w2.TIF,Control,44.0,cells,False,0
